ServerName,DatabaseName,Size_Used,Year,Month,Growth%
Server2,DB5,880.20,2022,6,1.257400
Server2,DB5,909.54,2022,7,1.299300
Server2,DB5,124.00,2022,8,0.177100
Server2,DB5,1720.20,2022,9,2.457400
Server2,DB5,1777.54,2022,10,2.539300
Server2,DB5,120.00,2022,11,0.171400
Server2,DB5,124.00,2022,12,0.177100
Server2,DB5,413.54,2023,1,0.590700
Server2,DB5,858.48,2023,2,1.226400
Server2,DB5,950.46,2023,3,1.357800
Server2,DB5,400.20,2023,4,0.571700
Server2,DB5,413.54,2023,5,0.590700
Server2,DB5,1399.80,2023,6,1.999700
Server2,DB5,1446.46,2023,7,2.066300
Server2,DB5,413.54,2023,8,0.590700
Server2,DB5,1920.00,2023,9,2.742800
Server2,DB5,1984.00,2023,10,2.834200
Server2,DB5,400.20,2023,11,0.571700
Server2,DB5,413.54,2023,12,0.590700
Server2,DB5,744.00,2024,1,1.062800
Server2,DB5,1160.00,2024,2,1.657100
Server2,DB5,1240.00,2024,3,1.771400
Server2,DB5,720.00,2024,4,1.028500
Server2,DB5,744.00,2024,5,1.062800
Server2,DB5,1879.80,2024,6,2.685400
Server2,DB5,1942.46,2024,7,2.774900
Server2,DB5,744.00,2024,8,1.062800
Server2,DB5,2200.20,2024,9,3.143100
Server2,DB5,2273.54,2024,10,3.247900
Server2,DB5,720.00,2024,11,1.028500
Server2,DB5,744.00,2024,12,1.062800
Server2,DB5,2108.00,2025,1,3.011400
Server2,DB5,2277.52,2025,2,3.253600
Server2,DB5,2521.54,2025,3,3.602200
Server2,DB5,2040.00,2025,4,2.914200
Server2,DB5,2108.00,2025,5,3.011400
Server2,DB5,3240.00,2025,6,4.628500
Server2,DB5,3348.00,2025,7,4.782800
Server2,DB5,1292.00,2025,8,1.845700
